
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/06/25	2210.06	2230.22	2210.04	2230.19	14715506	14893073408.00
2001/06/26	2234.07	2236.77	2223.49	2233.59	16016552	16700824576.00
2001/06/27	2234.70	2237.52	2223.81	2229.82	12349233	13473718272.00
2001/06/28	2231.36	2237.49	2213.57	2219.25	13362483	13559904256.00
2001/06/29	2218.57	2225.35	2214.15	2218.02	17230251	10937972736.00
2001/07/02	2220.41	2223.20	2201.58	2205.98	12083408	10422650880.00
2001/07/03	2206.84	2211.86	2191.68	2211.83	20364185	9918120960.00
2001/07/04	2212.97	2216.22	2199.62	2202.05	14379273	8264960000.00
2001/07/05	2202.30	2204.26	2176.75	2181.66	12834708	9772015616.00
2001/07/06	2179.81	2187.23	2168.78	2170.52	10699915	9200348160.00
2001/07/09	2169.46	2175.16	2164.00	2169.65	8908827	7809558016.00
2001/07/10	2172.60	2189.79	2172.59	2189.78	7291746	7765129216.00
2001/07/11	2190.97	2192.52	2167.67	2168.74	7251157	7264992768.00
2001/07/12	2164.91	2168.39	2153.68	2165.49	7460674	7155175936.00
2001/07/13	2167.70	2178.01	2158.85	2161.34	8061425	7786050048.00
2001/07/16	2176.33	2183.51	2142.08	2146.23	11125687	11168680960.00
2001/07/17	2145.48	2146.03	2121.28	2140.98	9228228	8814296064.00
2001/07/18	2142.01	2147.83	2137.40	2146.54	5200870	5801370112.00
2001/07/19	2146.51	2150.26	2135.24	2150.26	8538161	7250356224.00
2001/07/20	2153.23	2179.77	2153.14	2179.62	12949596	12152170496.00
2001/07/23	2183.74	2185.85	2166.33	2169.00	9736241	10748552192.00
2001/07/24	2162.75	2162.75	2129.18	2136.45	11095458	10686343168.00
2001/07/25	2130.45	2140.49	2108.76	2112.25	9075120	8783531008.00
2001/07/26	2109.92	2116.55	2086.07	2094.00	9157128	8079202816.00
2001/07/27	2093.86	2101.15	2063.89	2065.72	10545586	8442653184.00
2001/07/30	2056.76	2056.77	1955.97	1956.82	12318096	10265158656.00
2001/07/31	1939.26	1978.10	1909.29	1920.31	11772308	9298429952.00
2001/08/01	1925.23	1986.94	1925.23	1986.92	11570926	9527091200.00
2001/08/02	1989.64	1990.69	1912.72	1957.02	11394468	8476730880.00
2001/08/03	1956.54	1965.32	1948.90	1958.69	7348471	5793822208.00
2001/08/06	1953.41	1953.44	1867.86	1882.12	12326409	8622764032.00
2001/08/07	1872.66	1911.21	1861.77	1903.93	11860230	8960547840.00
2001/08/08	1902.87	1907.94	1885.41	1895.16	13127596	8252444160.00
2001/08/09	1894.69	1924.64	1894.04	1924.59	10716534	8083124224.00
2001/08/10	1929.96	1956.39	1929.68	1955.03	14705139	11342895104.00
2001/08/13	1956.92	1963.13	1942.07	1955.10	9948978	8010707968.00
2001/08/14	1955.50	1960.94	1924.26	1939.54	8851097	7204286976.00
2001/08/15	1938.54	1949.16	1935.38	1947.35	5434346	5166753792.00
2001/08/16	1948.26	1950.46	1918.49	1919.64	6582617	5657195008.00
2001/08/17	1916.84	1928.14	1909.67	1924.00	7105465	5365300224.00
2001/08/20	1923.09	1937.15	1917.09	1934.48	8064580	6612362752.00
2001/08/21	1936.05	1947.40	1935.77	1938.87	8402580	6225617920.00
2001/08/22	1935.53	1935.55	1891.35	1903.44	9922788	7917710848.00
2001/08/23	1892.37	1903.46	1869.49	1902.99	7772229	7329076224.00
2001/08/24	1903.38	1912.18	1883.23	1886.80	7783669	6963283968.00
2001/08/27	1881.30	1881.30	1824.87	1827.25	9766364	8901882880.00
2001/08/28	1816.65	1843.44	1795.56	1843.38	9173734	7567237120.00
2001/08/29	1846.81	1865.48	1837.94	1847.53	8495223	6815100928.00
2001/08/30	1846.18	1846.54	1831.02	1839.63	6463776	4541886976.00
2001/08/31	1838.21	1846.94	1831.51	1834.13	8065333	4298549760.00
2001/09/03	1831.70	1831.79	1813.36	1817.19	6931100	4986549760.00
2001/09/04	1815.27	1862.39	1814.91	1862.36	9963000	7722013184.00
2001/09/05	1868.36	1888.90	1863.83	1868.27	10618300	7934048256.00
2001/09/06	1867.63	1876.47	1853.28	1861.56	9983500	6001718784.00
2001/09/07	1858.24	1858.24	1807.14	1808.84	14013200	7703863808.00
2001/09/10	1790.21	1858.20	1774.83	1856.52	11727500	8272406016.00
2001/09/11	1859.96	1871.13	1849.61	1863.78	10143100	7189955072.00
2001/09/12	1822.12	1858.68	1815.59	1852.60	15107800	10528831488.00
2001/09/13	1851.61	1857.85	1837.81	1839.90	7657100	5211250176.00
2001/09/14	1838.67	1846.01	1814.74	1818.38	8465000	5979811840.00
2001/09/17	1811.90	1816.25	1782.50	1784.60	8260800	6032726016.00
2001/09/18	1784.59	1817.55	1780.04	1798.62	6174900	4747271168.00
2001/09/19	1800.24	1822.97	1784.91	1822.69	7292668	4832961536.00
2001/09/20	1826.41	1836.78	1814.45	1818.41	8715100	6270838784.00
